id,name,platform,genre,developer,original_release_date
30846,Xenonauts,iPhone,Music/Rhythm,Glu Mobile,12/15/2010
31226,Monster Tale,Pinball,Pinball,Stern Electronics. Inc.,12/15/2010
31503,Retro City Rampage,PC,Strategy,Magnussoft Deutschland GmbH,12/15/2010
31503,Retro City Rampage,Mac,Strategy,Magnussoft Deutschland GmbH,12/15/2010
32494,Back to the Future: The Game,PC,Fighting,Bloodlust Software,12/15/2010
32509,Pac-Man Championship Edition DX,PlayStation,Action,Bandai Co.. Ltd.,12/15/2010
32615,Delete,PC,Driving/Racing,Techland Sp. z o.o.,12/12/2010
27896,World of Warcraft: Cataclysm,Mac,MMORPG,Blizzard Entertainment,12/7/2010
27896,World of Warcraft: Cataclysm,PC,MMORPG,Blizzard Entertainment,12/7/2010
29284,Tron: Evolution,PC,Action,Propaganda Games,12/7/2010
29284,Tron: Evolution,Xbox 360,Action,Propaganda Games,12/7/2010
29284,Tron: Evolution,PlayStation 3,Action,Propaganda Games,12/7/2010
29284,Tron: Evolution,Nintendo DS,Action,Propaganda Games,12/7/2010
29284,Tron: Evolution,PSP,Action,Propaganda Games,12/7/2010
32761,Yogi Bear: The Video Game,PlayStation Network (PSP),Strategy,Team17 Software Limited,12/7/2010
32761,Yogi Bear: The Video Game,Wii,Strategy,Team17 Software Limited,12/7/2010
32881,Silly Bandz,PSP,Action,Capcom,12/7/2010
32881,Silly Bandz,PlayStation 2,Action,Capcom,12/7/2010
32881,Silly Bandz,Xbox,Action,Capcom,12/7/2010
32881,Silly Bandz,Arcade,Action,Capcom,12/7/2010
27562,Disney Epic Mickey,Wii,Adventure,Junction Point Studios,11/30/2010
30957,Nail'd,Arcade,Fighting,Taito Corporation,11/30/2010
21533,Storm of War: Battle of Britain,PC,Flight Simulator,1C: Maddox Games,11/30/2010
31678,Zumba Fitness,PlayStation 3,Platformer,DrinkBox Studios,11/30/2010
26833,Golden Sun: Dark Dawn,Nintendo DS,Role-Playing,Camelot Software Planning,11/29/2010
22968,Splatterhouse,Xbox 360,Action,Namco Bandai Games Inc.,11/23/2010
22968,Splatterhouse,PlayStation 3,Action,Namco Bandai Games Inc.,11/23/2010
27916,Majin and the Forsaken Kingdom,Xbox 360,Action-Adventure,Game Republic,11/23/2010
27916,Majin and the Forsaken Kingdom,PlayStation 3,Action-Adventure,Game Republic,11/23/2010
31664,Michael Jackson: The Experience,iPhone,Role-Playing,Storm 8,11/23/2010
32870,Hot Wheels Track Attack,Arcade,Wrestling,Konami Studios,11/23/2010
31668,Donkey Kong Country Returns,Commodore 64,Adventure,Polarware / Penguin Software. Inc.,11/21/2010
27227,Dance Dance Revolution,Wii,Music/Rhythm,Konami Corporation,11/16/2010
27227,Dance Dance Revolution,PlayStation 3,Music/Rhythm,Konami Corporation,11/16/2010
27266,Nine Hours. Nine Persons. Nine Doors,Nintendo DS,Puzzle,Chunsoft,11/16/2010
30346, EA Sports Active 2.0,PlayStation 3,Fitness,EA Canada,11/16/2010
30346, EA Sports Active 2.0,Wii,Fitness,EA Canada,11/16/2010
30346, EA Sports Active 2.0,Xbox 360,Fitness,EA Canada,11/16/2010
31379,Sonic Colors,PC,Strategy,Magnussoft Deutschland GmbH,11/16/2010
31641,Need for Speed: Hot Pursuit,Xbox 360,Wrestling,THQ,11/16/2010
31641,Need for Speed: Hot Pursuit,PSP,Wrestling,THQ,11/16/2010
31641,Need for Speed: Hot Pursuit,PlayStation 2,Wrestling,THQ,11/16/2010
31641,Need for Speed: Hot Pursuit,PlayStation 3,Wrestling,THQ,11/16/2010
31641,Need for Speed: Hot Pursuit,Wii,Wrestling,THQ,11/16/2010
32110,Marvel Super Hero Squad: The Infinity Gauntlet,PlayStation 2,Fighting,Digitalware. Inc.,11/16/2010
32640,Mortal Kombat HD Arcade Kollection,PC,Role-Playing,Katauri Interactive,11/16/2010
32819,Naruto Shippuden: Naruto vs. Sasuke,PC,Driving/Racing,Magnussoft Deutschland GmbH,11/16/2010
25235,Under Siege,PlayStation Network (PS3),Real-Time Strategy,Seed Studios,11/15/2010
25235,Under Siege,PlayStation 3,Real-Time Strategy,Seed Studios,11/15/2010
26881,Warriors: Legends of Troy,PlayStation 3,Action,Koei Canada. Inc.,11/15/2010
26881,Warriors: Legends of Troy,Xbox 360,Action,Koei Canada. Inc.,11/15/2010
32128,Hello Kitty: Birthday Adventures,PlayStation 3,Simulation,EA Canada,11/15/2010
32128,Hello Kitty: Birthday Adventures,Xbox 360,Simulation,EA Canada,11/15/2010
32280,Fighters Uncaged,PC,Real-Time Strategy,Neocore Games,11/15/2010
32381,Dungeon Defenders,Xbox 360,Shoot 'Em Up,CAVE Co.. Ltd.,11/15/2010
32381,Dungeon Defenders,Arcade,Shoot 'Em Up,CAVE Co.. Ltd.,11/15/2010
31677,Mario vs. Donkey Kong: Miniland Mayhem,iPhone,Role-Playing,Storm 8,11/14/2010
26423,Call of Duty: Black Ops,Nintendo DS,First-Person Shooter,Raven Software,11/9/2010
26423,Call of Duty: Black Ops,PC,First-Person Shooter,Raven Software,11/9/2010
26423,Call of Duty: Black Ops,Xbox 360,First-Person Shooter,Raven Software,11/9/2010
26423,Call of Duty: Black Ops,PlayStation 3,First-Person Shooter,Raven Software,11/9/2010
26423,Call of Duty: Black Ops,Wii,First-Person Shooter,Raven Software,11/9/2010
27199,Rune Factory 3: A Fantasy Harvest Moon,Nintendo DS,Simulation,Neverland Co.. Ltd.,11/9/2010
30351,The Fight: Lights Out,PlayStation 3,Fighting,Sony Computer Entertainment America,11/9/2010
31500,Harry Potter and the Deathly Hallows: Part 1,PC,Strategy,Magnussoft Deutschland GmbH,11/9/2010
31719,The Sly Collection,Xbox 360,Driving/Racing,Sega,11/9/2010
31603,Monster Jam: Path of Destruction ,PC,Puzzle,Legendo Entertainment AB,11/9/2010
31679,Raving Rabbids Travel In Time,PlayStation 3,Strategy,ACE Team,11/9/2010
31679,Raving Rabbids Travel In Time,PC,Strategy,ACE Team,11/9/2010
31679,Raving Rabbids Travel In Time,Xbox 360,Strategy,ACE Team,11/9/2010
32630,101-in-1 Sports Party Megamix,PSP,Action,Access Games,11/9/2010
31889,Black Mirror 3,DSiWare,Puzzle,Zener Works Inc.,11/5/2010
26792,Kinect Joy Ride,Xbox 360,Driving/Racing,Big Sandwich Games,11/4/2010
31646,Kinect Sports,PlayStation 2,Light-Gun Shooter,SEGA-AM2,11/4/2010
32551,The Biggest Loser Ultimate Workout ,Mac,Card Game,Telltale Games,11/4/2010
32551,The Biggest Loser Ultimate Workout ,PC,Card Game,Telltale Games,11/4/2010
25902,The King of Fighters 2002 Unlimited Match,PlayStation 2,Fighting,SNK Playmore,11/3/2010
25902,The King of Fighters 2002 Unlimited Match,Xbox Live Marketplace,Fighting,SNK Playmore,11/3/2010
25902,The King of Fighters 2002 Unlimited Match,Arcade,Fighting,SNK Playmore,11/3/2010
839,Ys: The Oath in Felghana,PSP,Action,Nihon Falcom Corp.,11/2/2010
839,Ys: The Oath in Felghana,PC,Action,Nihon Falcom Corp.,11/2/2010
29036,Fist of the North Star:  Ken's Rage ,PlayStation 3,Brawler,Omega Force,11/2/2010
29036,Fist of the North Star:  Ken's Rage ,Xbox 360,Brawler,Omega Force,11/2/2010
32506,Hoard,3DO,Simulation,Micro Cabin Corp.,11/2/2010
29441,True Crime,PC,Action,United Front Games,11/1/2010
29441,True Crime,PlayStation 3,Action,United Front Games,11/1/2010
29441,True Crime,Xbox 360,Action,United Front Games,11/1/2010
31534,Babysitting Mama,PC,Compilation,Magnussoft Deutschland GmbH,11/1/2010
32908,Winter Voices Prologue: Avalanche,PC,Simulation,Kairosoft Co.. LTD,10/29/2010
32908,Winter Voices Prologue: Avalanche,iPhone,Simulation,Kairosoft Co.. LTD,10/29/2010
30630,Blood Bowl: Legendary Edition,PC,Sports,Sports Mogul Inc.,10/28/2010
30358,3D Ultra MiniGolf Adventures 2,Xbox Live Marketplace,Golf,Wanako Games,10/27/2010
30358,3D Ultra MiniGolf Adventures 2,PlayStation Network (PS3),Golf,Wanako Games,10/27/2010
32195,AI War: Children of Neinzul,PC,MMORPG,Perfect World Entertainment,10/27/2010
27878,Fable III,Xbox 360,Role-Playing,Lionhead Studios Ltd.,10/26/2010
27878,Fable III,PC,Role-Playing,Lionhead Studios Ltd.,10/26/2010
27919,Rock Band 3,Nintendo DS,Music/Rhythm,Harmonix Music Systems. Inc.,10/26/2010
27919,Rock Band 3,Wii,Music/Rhythm,Harmonix Music Systems. Inc.,10/26/2010
27919,Rock Band 3,Xbox 360,Music/Rhythm,Harmonix Music Systems. Inc.,10/26/2010
27919,Rock Band 3,PlayStation 3,Music/Rhythm,Harmonix Music Systems. Inc.,10/26/2010
29438,Star Wars: The Force Unleashed II,PSP,Action-Adventure,LucasArts Entertainment Company LLC,10/26/2010
29438,Star Wars: The Force Unleashed II,Wii,Action-Adventure,LucasArts Entertainment Company LLC,10/26/2010
29438,Star Wars: The Force Unleashed II,Xbox 360,Action-Adventure,LucasArts Entertainment Company LLC,10/26/2010
29438,Star Wars: The Force Unleashed II,PlayStation 3,Action-Adventure,LucasArts Entertainment Company LLC,10/26/2010
29438,Star Wars: The Force Unleashed II,Nintendo DS,Action-Adventure,LucasArts Entertainment Company LLC,10/26/2010
29438,Star Wars: The Force Unleashed II,PC,Action-Adventure,LucasArts Entertainment Company LLC,10/26/2010
30167,Zettai Hero Project: Unlosing Ranger vs. Darkdeath Evilman,PlayStation Network (PSP),Strategy,Nippon Ichi Software Inc.,10/26/2010
30167,Zettai Hero Project: Unlosing Ranger vs. Darkdeath Evilman,PSP,Strategy,Nippon Ichi Software Inc.,10/26/2010
30195,Shaun White Skateboarding ,Wii,Skateboarding,Ubisoft Montreal Studios,10/26/2010
30195,Shaun White Skateboarding ,PlayStation 3,Skateboarding,Ubisoft Montreal Studios,10/26/2010
30195,Shaun White Skateboarding ,Xbox 360,Skateboarding,Ubisoft Montreal Studios,10/26/2010
30352,TV Superstars,PlayStation 3,Minigame Collection,SCE Studio Cambridge,10/26/2010
30379,Crafting Mama,Nintendo DS,Simulation,Cooking Mama Limited,10/26/2010
30924,Tony Hawk: SHRED,iPad,Puzzle,Secret Exit,10/26/2010
