Electronic Arts
"Hit Squad, The"
Gremlin Interactive Ltd.
Malibu Games
"Domark Software, Inc."
"Telegames, Inc."
"Software Storm, Inc."
"Alawar Entertainment, Inc."
Kernel Kaput
The Software Toolworks
Software Country
Dro Soft
Simon & Schuster Interactive
"Hypnotix, Inc."
THQ
Yuke's Co. Ltd.
Ariolasoft UK
Dinamic Software
SunSoft
Tokai Engineering
Sunsoft of America
Halycon Media GmbH & Co. KG
ChessBase GmbH
"Viva Media, LLC"
Mindscape Entertainment
"Centron Software, Inc."
Progressive Peripherals and Software
Whiptail Interactive
Pixel Studio
Akella
Dinamic Multimedia
"n-Space, Inc."
"Strategic Simulations, Inc."
Designer Software
dtp entertainment AG
Radon Labs GmbH
"Agetec, Inc."
Max Design GesMBH
"Shrapnel Games, Inc."
Tiny Hero Game Studios
Fox Interactive
Hyperbole Studios
Sony Computer Entertainment Europe
ReadySoft Incorporated
"Philips Interactive Media, Inc."
Don Bluth Ltd.
Digital Leisure Inc.
Positech Computing Ltd.
Deep Silver
Pluto 13 GmbH
JoWooD Productions Software AG
Anirog Software
Pastel Games
Mana Games
R&R Software
MicroIllusions
Nottinghamshire Constabulary
Sega
"Digital Pictures, Inc."
Eurocom Entertainment Software
"MicroProse Software, Inc."
U.S. Gold Ltd.
EA Bright Light
EA Canada
Team Fusion
"Abacus Software, Inc."
Sylum Entertainment Ltd.
Novitas GmbH
Activision
"Quicksilver Software, Inc."
SEGA-AM2
Ubisoft Entertainment
"Cyan Worlds, Inc."
Magic Pockets
Konami Corporation
"Acclaim Entertainment, Inc."
Acclaim Studios Cheltenham
Nintendo
"NDCube Co., Ltd."
"KOEI Co., Ltd."
BAP Interactive
Tec Toy Ind̼stria de Brinquedos S.A.
GraphSim Entertainment
BioWare
Black Isle Studios
Virgin Interactive Entertainment (Europe) Ltd.
Square Enix
TopWare Interactive
Metropolis Software House
Adept Software
"TAKARA Co., Ltd."
Crave Entertainment
HVB
BMG Interactive Entertainment
"Z-Axis, Ltd."
"Her Interactive, Inc."
MicroProse Ltd.
Gotham Games
Croteam Ltd.
Dimps Corporation
Visceral Games
"GameFlow Entertainment, LLC"
"Hypnos Entertainment, Inc."
Universal Interactive Inc.
Traveller's Tales Ltd.
Shin'en Multimedia
Gamos Ltd.
Dextrogames
"Davidson & Associates, Inc."
"Mindscape, Inc."
Alfa System
"Kids Station, Inc."
Taito Corporation
SCE London Studio
Adrenium Games
Gremlin Graphics Software Ltd.
Vortex Software
Mosaic Publishing
"Level 9 Computing, Ltd."
Hi-Tec Software Ltd.
PAL Developments
Natsume
"Banpresto Co., Ltd."
Durell Software Ltd.
Epic Games
Image Works
Sandcastle
Krisalis Software Ltd.
ak tronic Software & Services GmbH
Jellyvision
Tigervision
Big Five Software
Data East Corporation
"Synergistic Software, Inc."
"Culture Brain USA, Inc."
Culture Brain Inc.
"Sir-tech Software, Inc."
"Titus Interactive, S.A."
X-Ray Interactive
Sold Out Sales & Marketing Ltd.
Global Star Software Inc.
Climax Solent
Virgin Mastertronic Ltd.
Leland Corporation
"Tradewest, Inc."
"Rare, Ltd."
"Virgin Interactive Entertainment, Inc."
"Boffo Games, Inc."
Future Vision Multimedia
SuperStudio Ltd.
Opera Soft S.A.
Atari
Mesa Logic
Midway Games
Data Becker GmbH & Co. KG
Related Designs Software GmbH
Toshiba-EMI Ltd.
"Softvision Co., Ltd."
IBM
Playtronic Industrial Ltda.
Nintendo R&D3
Starbyte Software
Softdisk Publishing
"JVC Musical Industries, Inc."
United Game Artists
xLand Games
Unistar
WindThunder
Aliasworlds Entertainment
Maxis UK Ltd.
Artdink
Maxis Software
eastasiasoft
SideQuest Studios
I'Max Corp.
"RomTech, Inc."
The Creative Assembly
Torus Games Pty. Ltd.
"Crazy Games, Inc."
Amusement Interface Associates
Cryo Interactive Entertainment
Tek 5
Macrospace Ltd
"Amusement Vision, Ltd."
Kronos Digital Entertainment
AtariAge
The 3DO Company
Wide Games
"Masque Publishing, Inc."
Ant Software
26k Games
Ninth Wave Software
Global Software
Handheld Games
"Atomic Games, Inc."
Coktel Vision
Quantum Quality Productions
"Dynamix, Inc."
Softgold Computerspiele GmbH
"KATWorks Games, LLC"
Chris Gray Enterprises Inc.
Silicon Dreams Studio Ltd
"Tivola Publishing, Inc."
BVM Produktion GmbH
Ubisoft Paris Studios
Kalisto Entertainment SA
Laxius Power
Foster
"Nihon Bussan Co., Ltd."
Krome Studios Pty Ltd.
Imagic
Cheetahsoft Ltd.
e.p.i.c. interactive entertainment gmbh
Adventure Soft Publishing Ltd.
Adventuresoft Ltd.
"Three-Sixty Pacific, Inc."
Acme Animation Inc.
Flight-Plan
"BlueSky Software, Inc."
Hyperspace Cowgirls
"Westwood Studios, Inc."
Softkey
ComputerHouse GBG AB
"Produce Co., Ltd."
"T&E Soft, Inc."
Crytek GmbH
"Neverland Co., Ltd."
Bandai Digital Entertainment
"Presto Studios, Inc."
"Bandai Co., Ltd."
"Trilobyte, Inc."
Morphicon Limited
Bohemia Interactive Studio
Licomp Empik Multimedia Sp. z o.o.
505 Games
SCE Studio Cambridge
TalonSoft
Mastertronic Group Ltd.
Zenobi Software
Vertigo Games
Elite Systems Ltd.
Encore
Stormfront Studios
GlobalFun AB
NGD Studios
Intersect Software Corp.
New Crayon
"PopCap Games, Inc."
Best Buys Interactive
Stellar Stone LLC
Locis
