Amiga
Game Boy
Game Boy Advance
Game Gear
Genesis
Lynx
Sega Master System
SNES
Amstrad CPC
Apple II
Atari ST
Commodore 64
MSX
ZX Spectrum
Mac
PSP
PlayStation 2
Xbox 360
NES
PlayStation
GameCube
Atari 8-bit
Neo Geo
3DO
CD-i
Jaguar
Sega CD
VIC-20
Sega 32X
Xbox
N-Gage
PlayStation 3
Wii
Dreamcast
Apple IIgs
Amiga CD32
Atari 2600
Saturn
Nintendo 64
ColecoVision
TI-99/4A
Intellivision
Nintendo DS
TurboGrafx CD
WonderSwan Color
TurboGrafx-16
Game Boy Color
Commodore 128
Neo Geo CD
Odyssey 2
Dragon 32/64
Commodore PET/CBM
TRS-80
Zodiac
WonderSwan
Channel F
Atari 5200
TRS-80 CoCo
Atari 7800
iPod
Odyssey
PC-FX
Vectrex
Game.Com
Gizmondo
Virtual Boy
Neo Geo Pocket
Neo Geo Pocket Color
V.Smile
Pinball
Arcade
NUON
Xbox Live Marketplace
Wii Shop
PlayStation Network (PS3)
Leapster
Microvision
Famicom Disk System
Pioneer LaserActive
Adventure Vision
PC
Sharp X68000
iPhone
SwanCrystal
Satellaview
Arcadia 2001
Aquarius
Nintendo 64DD
Pippin
R-Zone
HyperScan
Game Wave
DSiWare
RDI Halcyon
FM Towns
NEC PC-8801
BBC Micro
PLATO
NEC PC-9801
Sharp X1
FM-7
NEC PC-6001
PlayStation Network (PSP)
Nintendo 3DS
Sega Pico
SuperGrafx
Bally Astrocade
iPad
Zeebo
Android
Windows Phone 7
Acorn Archimedes
