"id","name","name","name","original_release_date","image"
29795,"Kilroy","Chicago Coin","Pinball","1947-01-09","http://media.giantbomb.com/uploads/0/4527/1249080-1_thumb.jpg"
29731,"Gold Ball ","Chicago Coin","Pinball","1947-08-02","http://media.giantbomb.com/uploads/0/4527/1242865-1_thumb.jpg"
28536,"Baseball","Chicago Coin","Baseball","1947-10-01","http://media.giantbomb.com/uploads/0/4527/1231763-1_thumb.jpg"
29627,"Bermuda","Chicago Coin","Pinball","1947-11-16","http://media.giantbomb.com/uploads/0/4527/1232172-1_thumb.jpg"
29611,1776,"Chicago Coin","Pinball","1948-01-01","http://media.giantbomb.com/uploads/0/4527/1231476-image_1_thumb.jpg"
29628,"Bermuda Roll Down","Chicago Coin","Pinball","1948-01-13","/images/unknown.jpg"
29667,"Catalina","Chicago Coin","Pinball","1948-02-07","http://media.giantbomb.com/uploads/0/4527/1238778-1_thumb.jpg"
29677,"Crazy Ball","Chicago Coin","Pinball","1948-07-07","http://media.giantbomb.com/uploads/0/4527/1239308-1_thumb.jpg"
29784,"Holiday","Chicago Coin","Pinball","1948-12-01","http://media.giantbomb.com/uploads/0/4527/1248381-1_thumb.jpg"
29735,"Grand Award","Chicago Coin","Pinball","1949-01-25","http://media.giantbomb.com/uploads/0/4527/1242927-1_thumb.jpg"
29875,"Majors of '49","Chicago Coin","Pinball","1949-02-25","http://media.giantbomb.com/uploads/0/4527/1255043-1_thumb.jpg"
29668,"Champion ","Chicago Coin","Pinball","1949-06-01","http://media.giantbomb.com/uploads/0/4527/1238784-1_thumb.jpg"
29734,"Golden Gloves","Chicago Coin","Pinball","1949-07-01","http://media.giantbomb.com/uploads/0/4527/1242925-1_thumb.jpg"
29715,"Football ","Chicago Coin","Pinball","1949-08-01","http://media.giantbomb.com/uploads/0/4527/1241022-1_thumb.jpg"
29621,"Basketball Champ","Chicago Coin","Pinball","1949-10-01","/images/unknown.jpg"
29651,"Bowling Alley","Chicago Coin","Pinball","1949-10-01","/images/unknown.jpg"
29707,"Fighting Irish ","Chicago Coin","Pinball","1950-11-01","http://media.giantbomb.com/uploads/0/4527/1240847-1_thumb.jpg"
29720,"Four Player Derby ","Chicago Coin","Pinball","1951-01-01","/images/unknown.jpg"
29743,"Hit Parade","Chicago Coin","Pinball","1951-02-01","/images/unknown.jpg"
29646,"Bomber","Chicago Coin","Pinball","1951-03-01","http://media.giantbomb.com/uploads/0/4527/1232518-1_thumb.jpg"
29796,"King Pin","Chicago Coin","Pinball","1951-12-01","http://media.giantbomb.com/uploads/0/4527/1249084-1_thumb.jpg"
27431,"All-Star Basketball","Gottlieb","Basketball","1952-01-01","http://media.giantbomb.com/uploads/0/4647/1085251-allstgar_thumb.jpg"
29630,"Big Hit","Chicago Coin","Pinball","1952-06-01","http://media.giantbomb.com/uploads/0/4527/1232202-1_thumb.jpg"
27435,"Army-Navy","Williams Electronic Games, Inc.","Pinball","1953-10-02","http://media.giantbomb.com/uploads/0/4647/1085259-armynavy_thumb.jpg"
29788,"Home Run ","Chicago Coin","Pinball","1954-05-01","http://media.giantbomb.com/uploads/0/4527/1248394-1_thumb.jpg"
29643,"Blondie ","Chicago Coin","Pinball","1956-06-01","http://media.giantbomb.com/uploads/0/4527/1232509-1_thumb.jpg"
29665,"Capri","Chicago Coin","Pinball","1956-08-01","http://media.giantbomb.com/uploads/0/4527/1238773-1_thumb.jpg"
29622,"Batter Up","Chicago Coin","Baseball","1958-04-01","http://media.giantbomb.com/uploads/0/4527/1231808-1_thumb.jpg"
29613,"All Star Baseball","Chicago Coin","Baseball","1962-01-01","http://media.giantbomb.com/uploads/0/4527/1231484-image_11_thumb.jpg"
29714,"Fire Cracker","Chicago Coin","Pinball","1963-10-01","http://media.giantbomb.com/uploads/0/4527/1241011-1_thumb.jpg"
28554,"Bronco","Chicago Coin","Pinball","1963-11-01","http://media.giantbomb.com/uploads/0/4527/1231122-387f1_thumb.jpg"
28731,"Mustang","Chicago Coin","Pinball","1964-07-01","http://media.giantbomb.com/uploads/0/4527/1260587-1_thumb.jpg"
29685,"Double Play","Chicago Coin","Baseball","1965-03-01","/images/unknown.jpg"
29641,"Big League Baseball ","Chicago Coin","Pinball","1965-04-01","http://media.giantbomb.com/uploads/0/4527/1232504-1_thumb.jpg"
29791,"Hula-Hula","Chicago Coin","Pinball","1965-07-01","http://media.giantbomb.com/uploads/0/4527/1249076-1_thumb.jpg"
25852,"A-Go-Go","Williams Electronic Games, Inc.","Pinball","1966-05-26","http://media.giantbomb.com/uploads/0/4527/1231472-a_go_go_1966_f_1_thumb.jpg"
29705,"Festival ","Chicago Coin","Pinball","1966-08-01","http://media.giantbomb.com/uploads/0/4527/1240843-1_thumb.jpg"
29794,"Kicker","Chicago Coin","Pinball","1966-08-01","http://media.giantbomb.com/uploads/0/4527/1249079-1_thumb.jpg"
29626,"Beatniks","Chicago Coin","Pinball","1967-01-01","http://media.giantbomb.com/uploads/0/4527/1232171-1_thumb.jpg"
29653,"Bullseye Baseball","Chicago Coin","Pinball","1967-01-01","http://media.giantbomb.com/uploads/0/4527/1233684-1_thumb.jpg"
29614,"All Stars","Chicago Coin","Pinball","1968-02-01","http://media.giantbomb.com/uploads/0/4527/1231485-image_12_thumb.jpg"
29736,"Gun Smoke","Chicago Coin","Pinball","1968-04-18","http://media.giantbomb.com/uploads/0/4527/1242977-1_thumb.jpg"
27437,"Astronaut","Chicago Coin","Pinball","1969-06-09","http://media.giantbomb.com/uploads/0/4647/1085262-astronaut_thumb.jpg"
28728,"Moon Shot","Chicago Coin","Pinball","1969-08-22","http://media.giantbomb.com/uploads/0/4527/1260584-1_thumb.jpg"
28526,"Action","Chicago Coin","Pinball","1969-09-15","http://media.giantbomb.com/uploads/0/4527/1231478-15f1_thumb.jpg"
29629,"Big Flipper","Chicago Coin","Pinball","1970-01-10","http://media.giantbomb.com/uploads/0/4527/1232176-1_thumb.jpg"
29673,"Cowboy","Chicago Coin","Pinball","1970-01-19","http://media.giantbomb.com/uploads/0/4527/1238805-1_thumb.jpg"
29741,"Hi-Score Pool","Chicago Coin","Pinball","1971-08-01","http://media.giantbomb.com/uploads/0/4527/1244206-1_thumb.jpg"
20713,"Computer Space","Nutting Associates","Shooter","1971-11-01","http://media.giantbomb.com/uploads/0/4076/282464-computerspace_thumb.jpg"
29789,"Home Run","Chicago Coin","Baseball","1972-02-01","http://media.giantbomb.com/uploads/0/4527/1248405-1_thumb.jpg"
14965,"Table Tennis","Magnavox","Sports","1972-05-01","/images/unknown.jpg"
29666,"Casino ","Chicago Coin","Pinball","1972-06-08","http://media.giantbomb.com/uploads/0/4527/1238774-1_thumb.jpg"
22195,"Pong","Atari","Simulation","1972-11-29","http://media.giantbomb.com/uploads/0/7464/817419-atari___pong_1973_thumb.jpg"
29813,"Las Vegas","Chicago Coin","Pinball","1972-12-01","http://media.giantbomb.com/uploads/4/45429/1252149-las_vegas_02_thumb.jpg"
29619,"Baseball Champ","Chicago Coin","Baseball","1973-01-01","http://media.giantbomb.com/uploads/0/4527/1231764-1_thumb.jpg"
29737,"Hee Haw","Chicago Coin","Pinball","1973-04-01","http://media.giantbomb.com/uploads/0/4527/1242982-1_thumb.jpg"
29681,"Deluxe World Series","Chicago Coin","Pinball","1974-01-01","/images/unknown.jpg"
29683,"Dolphin ","Chicago Coin","Pinball","1974-03-25","http://media.giantbomb.com/uploads/0/4527/1239320-1_thumb.jpg"
29740,"Hi-Flyer","Chicago Coin","Pinball","1974-08-12","http://media.giantbomb.com/uploads/0/4527/1243720-1_thumb.jpg"
29722,"Gin ","Chicago Coin","Pinball","1974-11-15","http://media.giantbomb.com/uploads/0/4527/1241644-1_thumb.jpg"
28743,"Olympics","Chicago Coin","Pinball","1975-01-08","http://media.giantbomb.com/uploads/0/4527/1295585-1_thumb.jpg"
29733,"Gold Record","Chicago Coin","Pinball","1975-04-09","http://media.giantbomb.com/uploads/0/4527/1242903-1_thumb.jpg"
29644,"Blue Max","Chicago Coin","Pinball","1975-07-10","http://media.giantbomb.com/uploads/0/4527/1232512-1_thumb.jpg"
670,"Videocart-1: Tic-Tac-Toe, Shooting Gallery, Doodle, Quadra-Doodle","Fairchild Camera and Instrument Corp.","Action","1976-01-01","http://media.giantbomb.com/uploads/0/8271/765933-567657_31257_front_thumb.jpg"
15313,"Videocart-2: Desert Fox, Shooting Gallery","Fairchild Camera and Instrument Corp.","Action","1976-01-01","http://media.giantbomb.com/uploads/0/8271/765952-927662_66609_front_thumb.jpg"
